"channelId","channelTitle","Category","videoCount","viewCount","likeCount","dislikeCount","commentCount","Subcriptions"
"UC_GvMVffgctSISDkeWlKhXQ","dope2111","Beauty",5,709462,36911,675,2260,5890000
"UC_hoQDD6zKcIqpIYLsFbBeA","Mo Vlogs","Vlog",110,161363145,7918804,317318,516835,10400000
"UC_MTE8H-i_spop-Gc9tOCDQ","Kevin David","Business",90,5865090,321082,23027,87559,1270000
"UC-lHJZR3Gqxm24_Vd_AJ5Yw","PewDiePie","Gaming",50,342037712,23927738,312363,1483994,1.09e+08
"UC0cxMY7jZ_kiE2bvykJffZA","Caitlin Shoemaker","Food",75,4975618,238467,3373,12390,746000
"UC0gQe6RljqpKt7_7hjNTCpQ","Jenna Ezarik","Tech",69,4253899,194171,5020,17139,945000
"UC1KsxDW7hhfeq5QQmFtInIw","julien solomita","Vlog",39,42844033,2768354,20048,214046,2550000
"UC1o9zvRwIqP_K5ByWs-EVwA","BigJigglyPanda","Gaming",162,34195067,1946552,12056,73165,1870000
"UC1QbgAuzMDsWn7eCtImRB7Q","Grace Beverley","Business",2,531951,15260,908,1164,571000
"UC1QXhnP2qTw3ZbZ8Zikgz9w","Victoria Beckham","Celebrity",5,586118,8173,499,598,129000
"UC21yq4sq8uxTcfgIxxyE9VQ","Carli Bybel","Beauty",46,21064649,889618,16704,93242,6150000
"UC4gDYbCEIb69uvFmCX5Lyuw","Stephanie Buttermore","Fitness",16,17638390,757507,11596,54749,1160000
"UC4laAHbk8VSgmvB47tsd2XQ","Eamon & Bec","Travel",49,29918823,1186902,18675,106477,799000
"UC4xKdmAXFh4ACyhpiQ_3qBw","TechLead","Tech",69,14043130,619586,68002,83503,969000
"UC4zS1wbO81p59CxKL7CQAcA","Brian Barczyk","Animal",248,58840516,2250495,46670,231656,2970000
"UC68TLK0mAEzUyHx5x5k-S1Q","Jeff Nippard","Fitness",30,24676838,837199,14840,49113,2350000
"UC8v4vz_n2rys6Yxpj8LuOBA","KathleenLights","Beauty",78,26510796,1366051,15780,100981,4160000
"UC9_p50tH3WmMslWRWKnM7dQ","Adam Ragusea","Food",112,91521239,3006030,78102,272882,1340000
"UC9fSZHEh6XsRpX-xJc6lT3A","UrAvgConsumer","Tech",90,48345378,1588227,50226,120047,3080000
"UC9gFih9rw0zNCK3ZtoKQQyA","JennaMarbles","Vlog",21,90644609,5536645,38240,416126,20100000
"UC9lSZSYpDDE18hoFA7YlBpw","Tfue","Gaming",68,130720055,5218561,145138,216377,12100000
"UCa1WbVCkTqd5ecG6G2adIow","vagabrothers","Travel",4,299614,12089,265,2261,1080000
"UCaFdHs0RzJv5PnlQR-OFWFw","Sara & Alex James – 40 Hours of Freedom","Travel",23,2796681,70132,1859,3255,179000
"UCaXEr4t_QBZBk3qlIlc2HRg","Jennelle Eliana","Travel",16,17882028,1098382,21952,69230,2470000
"UCB-Ps5DdRsVAcml-Y43o7RQ","Hey Nadine","Travel",30,1527880,44450,1052,5675,492000
"UCBeKQoyinCzc6JdS_47nHKw","Hanna Öberg","Fitness",60,10133613,325809,5290,21420,839000
"UCBJycsmduvYEL83R_U4JriQ","Marques Brownlee","Tech",112,497426942,18826324,508958,1567925,13700000
"UCC5ETXSpyOv3pau8OwUWKTw","GLAM","Beauty",32,15178337,428004,5133,30588,307000
"UCCgLoMYIyP0U56dEhEL1wXQ","Chloe Ting","Fitness",78,626576127,12663167,96438,460584,18300000
"UCCI_8nSz_TYWWaXMV475c9Q","Jason Nash","Vlog",136,102862307,4115533,57274,217064,3210000
"UCctXZhXmG-kf3tlIXgVZUlw","GaryVee","Business",78,10597734,300315,5837,40827,2990000
"UCDTtciKkf_AzXtKNUjkUEPg","Shay Mitchell","Celebrity",7,7008753,417110,1689,12561,4300000
"UCE37328iVnqSj1OCrgrYd8w","Emzotic","Animal",19,1932892,123801,2174,22514,710000
"UCeqR0F3O1V11CiiOaJbd1pw","MattDoesFitness","Fitness",69,79330673,3552987,45790,156881,2030000
"UCey_c7U86mJGz1VJWH5CYPA","iJustine","Tech",87,49679260,1743348,64871,158396,6840000
"UCF4ZlYOYWH9QDkQakPpyEww","FaZe H1ghSky1","Gaming",5,1201687,24450,926,1477,2490000
"UCFXGtL_FJUzpFc3idqBARZA","The Bafana Family","Family",7,67631,3635,46,380,20300
"UCG9nVSLp4nQlW79sY5ihRrg","Desi Perkins","Beauty",17,7047422,321555,5728,19510,3330000
"UChBEbMKI1eCcejTtmI32UEw","Joshua Weissman","Food",104,160258581,6542581,106193,356397,3730000
"UCiDJtJKMICpb9B1qf7qjEOA","Adam Savage’s Tested","Celebrity",159,49340512,1564920,23353,132985,5420000
"UCIEv3lZ_tNXHzL3ox-_uUGQ","Gordon Ramsay","Food",23,30841176,440574,19208,26248,17100000
"UCIJwWYOfsCfz6PjxbONYXSg","blogilates","Fitness",68,46767884,1229882,11293,70721,5500000
"UCjfG0dyMUiqKleUnkX6zBrA","Natacha Océane","Fitness",34,28783152,1158682,7709,76148,1280000
"UCJHA_jMfCvEnv-3kRjTCQXw","Babish Culinary Universe","Food",95,316791994,10808085,123600,537411,8630000
"UCJQL1Fai-9GlVunsbP4x8Pg","MyHarto","Vlog",10,2154277,126600,4069,13861,2350000
"UCK2ACorzpH-igxuHZ2ObCEA","itsJudysLife","Family",67,12950251,402823,8638,32551,1790000
"UCK5PP5Up6Dz80dv5G4XuiiA","Holly Dolke","Fitness",93,19720802,550045,6017,39768,1380000
"UCKFtfFitaK83yBc0rlg9m1A","Paul Cuffaro","Animal",151,42013031,2726922,43184,274659,1780000
"UCKuHFYu3smtrl2AwwMOXOlg","Will Smith","Celebrity",28,73317164,3048559,48499,152168,9150000
"UCkWEz7TtcX8uX_HRktNSxUA","The Hay Family","Family",52,3962430,89965,1389,4625,150000
"UCl-Zrl0QhF66lu1aGXaTbfw","Neil Patel","Business",149,4658687,136009,4101,27429,844000
"UCl1Tkl0amPsxWJ1HLQdj92A","Krissy Cela","Fitness",62,8125755,338348,3834,53398,678000
"UClFSU9_bUb4Rc6OYfTt5SPw","Philip DeFranco","Vlog",179,175237473,9194529,332808,1075082,6320000
"UCLkUBpw-hgIoHtI5owanaBA","Max & Lee","Travel",20,3547459,169874,2201,16800,494000
"UCmh5gdwCx6lN7gEC20leNVA","David Dobrik","Vlog",12,246435945,11963522,117332,386413,18800000
"UCMiJRAwDNSNzuYeN2uWa0pA","Mrwhosetheboss","Tech",91,320539259,13292660,347493,1037321,6560000
"UCNbngWUqL2eqRw12yAwcICg","Laura in the Kitchen","Food",47,5982122,233124,3781,11170,3790000
"UCnBTvMFhuvbE_dhw2mo0NaQ","Sunny Lenarduzzi","Business",76,4086796,228580,5424,74374,512000
"UCnEn0EUV13IR-_TK7fiIp3g","Alfie Deyes Vlogs","Vlog",50,11774863,529587,8042,20001,3640000
"UCoMum0pwewO8_WtTlUQxGHw","CupcakeJemma","Food",64,15711159,452883,4836,26967,2140000
"UCOtoxvHLKrIlWbt4MRBWfbQ","RawBeautyKristi","Beauty",58,38780044,2369138,20938,361834,1210000
"UCOXFVINC6GCo86LBy0NQCIg","Romee Strijd","Celebrity",21,28077542,998647,8256,42274,1790000
"UCpKXTEQJDiOtfeLa23_U5hg","Kamp Kenan","Animal",152,16080097,585908,7674,55554,639000
"UCpqH8-BBNTsluhcOzFKWLuw","MATTY MATHESON","Food",78,29536515,767539,16171,72317,819000
"UCpyhJZhJQWKDdJCR07jPY-Q","Simnett Nutrition","Food",54,4180783,270249,2479,30703,540000
"UCq2E1mIwUKMWzCA4liA_XGQ","Pick Up Limes","Food",22,21758539,1043975,8530,36266,3340000
"UCqg2eLFNUu3QN3dttNeOWkw","iHasCupquake","Gaming",53,14593456,532239,8117,48256,6930000
"UCQhqmV26773qZhzqJz4VFcw","Homemade Wanderlust","Travel",67,6494572,252664,3534,58415,340000
"UCRSvEADlY-caz3sfDNwvR1A","Huda Beauty","Beauty",26,12392708,531950,12123,33895,4150000
"UCrUbqTCagwsaP2Fmr0p1TsA","Zoe Sugg","Beauty",50,35742653,1390684,16309,19103,4800000
"UCsQiYDzi0UtpdDIe7_DpcLw","Jordan Platten","Business",61,2666911,73709,1490,8339,145000
"UCsTcErHg8oDvUnTzoqsYeNw","Unbox Therapy","Tech",99,270943329,7203308,429733,720048,17800000
"UCswH8ovgUp5Bdg-0_JTYFNw","Russell Brand","Celebrity",153,38311067,1229064,40778,247517,2850000
"UCt_NLJ4McJlCyYM-dSPRo7Q","Lost LeBlanc","Travel",37,12868755,403962,14466,29261,1720000
"UCtinbF-Q-fVthA0qrFQTgXQ","CaseyNeistat","Vlog",30,53212396,2618404,61791,139666,12300000
"UCTr-klXfdXmrU9FEP987ueg","Josh Peck","Vlog",38,23828417,859015,11948,37051,3750000
"UCU-ZXqhx1xjsxO1ftXJELdg","KKandbabyJ","Family",43,8343287,380094,5906,12667,1170000
"UCuoxrRDDgk3UUnxR4tlkJYQ","Marie Forleo","Business",79,3797614,64172,1605,4953,691000
"UCuriCa9loP_OsH75_5j8M5w","JablinskiGames","Celebrity",24,38551312,1627505,23525,105009,4880000
"UCV6KDgJskWaEckne5aPA0aQ","Graham Stephan","Business",157,94507291,6900946,162249,603855,2960000
"UCVNYw6ZGvK1_OhF8OG1OrKA","The Edwards Family","Family",45,4572094,220133,2580,14381,1820000
"UCVrvnobbNGGMsS5n2mJwfOg","FunForLouis","Travel",8,1421336,27948,1431,2091,1990000
"UCWFKCr40YwOZQx8FHU_ZqqQ","JerryRigEverything","Tech",77,190853089,6713168,232351,612378,6620000
"UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family","Family",82,466683741,22393459,560313,1962717,1.9e+07
"UCxJrnvfqSSvly5hiq2Fe68g","SACCONEJOLYs","Family",103,15427292,654657,13259,54577,1790000
"UCxkbgf3doLf0XwmhIDTq28A","Yammy","Gaming",171,67992744,2609440,48261,306865,2690000
"UCXuqSBlHAE6Xw-yeJA0Tunw","Linus Tech Tips","Tech",90,180856751,6965102,169779,610535,13100000
"UCYONTR6PoZVJ4EcbOz3qdtw","Mike Vestil","Business",173,788030,25702,2889,3986,242000
"UCyqR7WkL8i1b6xtSssDmW9w","The Fitness Marshall","Fitness",55,44525760,657442,10991,21468,3140000
"UCYzPXprvl5Y-Sf0g4vX-m6g","jacksepticeye","Gaming",72,196528278,11027841,86698,912696,26500000
"UCZdQjaSoLjIzFnWsDQOv4ww","Sailing La Vagabonde","Travel",67,42730878,1686952,49661,96229,1540000
"UCzJIliq68IHSn-Kwgjeg2AQ","Jackie Aina","Beauty",8,8297763,400778,5656,20382,3590000
"UCzTKskwIc_-a0cGvCXA848Q","NikkieTutorials","Beauty",47,157384225,9192503,233050,813547,13800000
"UCZzFRKsgVMhGTxffpzgTJlQ","Zak George’s Dog Training Revolution","Animal",69,13765381,261042,6801,36424,3070000
